timestamp,user_id,item_id,action,action_id,from
2025-10-27T20:31:31.420709,2,52,click,1,学び直しのススメ
2025-10-27T20:31:31.519287,2,52,navigate,3,学び直しのススメ
2025-10-27T20:34:49.567554,2,46,click,1,学び直しのススメ
2025-10-27T20:34:49.651820,2,46,navigate,3,学び直しのススメ
2025-10-27T20:39:23.964990,2,48,navigate,3,学び直しのススメ
2025-10-27T20:39:25.605505,2,86,navigate,3,学び直しのススメ
2025-10-27T21:02:59.860430,2,26,click,1,グローバルビジネスの基礎
2025-10-27T21:02:59.971292,2,26,navigate,3,グローバルビジネスの基礎
2025-10-27T21:03:05.460375,2,27,navigate,3,グローバルビジネスの基礎
2025-10-27T21:03:34.818264,2,41,click,1,生成AIの未来を探る
2025-10-27T21:03:34.881297,2,41,navigate,3,生成AIの未来を探る
2025-10-27T21:05:11.533748,2,21,click,1,ビジネススキルを磨く
2025-10-27T21:05:11.770227,2,21,navigate,3,ビジネススキルを磨く
2025-10-27T21:05:18.110224,2,67,click,1,ビジネススキルを磨く
2025-10-27T21:05:18.197890,2,67,navigate,3,ビジネススキルを磨く
2025-10-27T21:05:19.740891,2,64,navigate,3,ビジネススキルを磨く
2025-10-27T21:06:48.461179,2,15,click,1,脳と集中力の科学
2025-10-27T21:06:48.568452,2,15,navigate,3,脳と集中力の科学
2025-10-27T21:06:54.286477,2,31,navigate,3,脳と集中力の科学
2025-10-27T21:06:57.281228,2,34,navigate,3,脳と集中力の科学
2025-10-27T21:07:08.876621,2,43,click,1,グローバルビジネスの基礎
2025-10-27T21:07:08.945998,2,43,navigate,3,グローバルビジネスの基礎
2025-10-27T21:08:00.821637,2,80,click,1,学び直しのススメ
2025-10-27T21:08:00.915376,2,80,navigate,3,学び直しのススメ
2025-10-27T21:08:03.418045,2,10,navigate,3,学び直しのススメ
2025-10-27T21:08:08.265055,2,29,navigate,3,学び直しのススメ
2025-10-27T21:11:46.250151,2,29,click,1,脳と集中力の科学
2025-10-27T21:11:46.438361,2,29,navigate,3,脳と集中力の科学
2025-10-27T21:11:49.369163,2,29,navigate,3,脳と集中力の科学
2025-10-27T21:11:51.166467,2,10,navigate,3,脳と集中力の科学
2025-10-27T21:13:17.343738,2,34,click,1,学び直しのススメ
2025-10-27T21:13:17.453640,2,34,navigate,3,学び直しのススメ
2025-10-27T21:13:21.701905,2,51,navigate,3,学び直しのススメ
2025-10-27T21:13:24.636627,2,61,navigate,3,学び直しのススメ
2025-10-27T21:17:30.991803,2,15,click,1,脳と集中力の科学
2025-10-27T21:17:31.199891,2,15,navigate,3,脳と集中力の科学
2025-10-27T21:17:35.675068,2,15,navigate,3,脳と集中力の科学
2025-10-27T21:17:37.664763,2,32,navigate,3,脳と集中力の科学
2025-10-27T21:17:46.156782,2,40,click,1,グローバルビジネスの基礎
2025-10-27T21:17:46.234327,2,40,navigate,3,グローバルビジネスの基礎
2025-10-27T21:17:50.885418,2,40,navigate,3,グローバルビジネスの基礎
2025-10-27T21:17:55.101933,2,40,click,1,グローバルビジネスの基礎
2025-10-27T21:17:55.181953,2,40,navigate,3,グローバルビジネスの基礎
2025-10-27T21:17:56.552824,2,42,navigate,3,グローバルビジネスの基礎
2025-10-27T21:18:01.879144,2,27,click,1,グローバルビジネスの基礎
2025-10-27T21:18:01.954344,2,27,navigate,3,グローバルビジネスの基礎
2025-10-27T21:18:03.368477,2,22,navigate,3,グローバルビジネスの基礎
2025-10-27T21:18:12.798878,2,40,click,1,グローバルビジネスの基礎
2025-10-27T21:18:12.880898,2,40,navigate,3,グローバルビジネスの基礎
2025-10-27T21:18:14.870256,2,41,navigate,3,グローバルビジネスの基礎
2025-10-27T21:20:24.250140,2,23,click,1,ビジネススキルを磨く
2025-10-27T21:20:24.336889,2,23,navigate,3,ビジネススキルを磨く
2025-10-27T21:20:27.960808,2,43,navigate,3,ビジネススキルを磨く
2025-10-27T21:20:30.904304,2,17,navigate,3,ビジネススキルを磨く
2025-10-27T21:20:35.144214,2,36,navigate,3,ビジネススキルを磨く
2025-10-27T21:24:27.029841,2,49,click,1,学び直しのススメ
2025-10-27T21:24:27.156494,2,49,navigate,3,学び直しのススメ
2025-10-27T21:24:29.038531,2,75,navigate,3,学び直しのススメ
2025-10-27T21:24:35.249627,2,47,click,1,学び直しのススメ
2025-10-27T21:24:35.337667,2,47,navigate,3,学び直しのススメ
2025-10-27T21:24:38.056005,2,24,navigate,3,学び直しのススメ
2025-10-27T21:24:40.286383,2,24,navigate,3,学び直しのススメ
2025-10-27T21:24:41.812455,2,24,bookmark,2,学び直しのススメ
